Geneid	Length
SEC16B	60348
CRYZL2P-SEC16B	109220
CRYZL2P	31815
AL359075.1	217
RASAL2-AS1	2477
RASAL2	390007
AL160281.1	368
AL365357.1	357
CLEC20A	20388
AL513013.1	1489
TEX35	35526
C1orf220	6138
RNA5SP69	117
AL137796.1	577
MIR4424	86
AL449106.1	1980
RALGPS2	196695
PTPN2P1	1072
ANGPTL1	21348
FAM20B	50759
AL139132.1	344
TOR3A	16647
ABL2	130358
AL512326.3	171
SETP10	814
RF00272	913
EIF4A1P11	222
AL512326.1	1188
COX5BP8	349
AL512326.2	151
SOAT1	64967
AXDND1	189016
MEF2AP1	863
HNRNPA1P54	9714
AL160286.3	5722
NPHS2	25414
RNU5F-2P	82
AL160286.1	2471
AL160286.2	934
TDRD5	99660
AL359853.3	12481
FAM163A	73036
AL359853.1	2008
AL359853.2	6516
TOR1AIP2	37837
AL353708.3	989
TOR1AIP1	42959
RN7SL230P	303
AL353708.2	15156
AL353708.1	1257
CEP350	160143
RPSAP16	821
AL590632.1	371
AL390718.1	6751
QSOX1	49197
LHX4	48697
ACBD6	233302
VDAC1P4	1137
MIR3121	77
OVAAL	13772
XPR1	258248
AL162431.1	2516
KIAA1614	38461
AL162431.2	32441
KIAA1614-AS1	5189
AL162431.3	1399
AL162431.4	411
STX6	50410
MR1	28514
IER5	4188
LINC01732	7725
AL358393.1	679
LINC01699	2217
CACNA1E	490395
RNA5SP70	79
AL161734.1	557
RN7SKP229	302
ZNF648	7143
AL355482.1	6577
AL355482.2	3562
AL390856.1	1386
LINC01344	184752
YPEL5P1	367
RNU6-152P	107
AL513480.1	511
EIF1P3	334
GLUL	10503
TEDDM1	2500
LINC00272	7195
RGSL1	151408
AL139344.1	569
TEDDM2P	786
RNASEL	15623
RGS16	5786
LINC01686	1376
RGS8	42761
LINC01688	1683
AL353778.1	988
NPL	41092
DHX9	48383
SHCBP1L	53661
HMGN1P4	290
RNA5SP71	126
AL450304.2	126
AL450304.1	759
KRT18P28	1332
RNU6-41P	107
LAMC1	122133
LAMC1-AS1	2881
LAMC2	58663
NMNAT2	170366
AL356981.1	684
SMG7-AS1	11392
SMG7	126031
NCF2	35314
ARPC5	14912
RGL1	292447
APOBEC4	6913
AL157899.1	936
AL590422.1	520
COLGALT2	107876
TSEN15	72328
AL445228.1	3756
RN7SL654P	292
AL445228.2	952
C1orf21	241963
AL078645.1	4024
AL078645.2	1325
AL713852.1	28650
EDEM3	64683
FAM129A	183827
RNU7-13P	62
LINC01633	7157
RNA5SP72	117
RNF2	57245
FTH1P25	469
TRMT1L	38975
SWT1	134686
RPL22P24	376
RPL5P5	893
AL356273.1	2071
AL356273.2	973
AL356273.3	1989
IVNS1ABP	20942
AL078644.1	752
GS1-279B7.1	13883
RNU7-183P	62
MCRIP2P2	209
AL133383.2	2336
LINC01350	70156
AL133383.1	2167
HMCN1	456399
AL133553.1	489
PRG4	18284
TPR	64042
RNU6-1240P	104
ODR4	45541
OCLM	884
AL596220.1	35131
PDC	17557
AL096803.3	532
AL096803.1	1021
AL096803.2	677
PTGS2	8637
PACERR	825
PLA2G4A	160029
ERVMER61-1	615923
AL391813.1	282
FDPSP1	1071
AL357559.1	274
SLC4A1APP2	2338
AL645474.1	493
AL136372.2	131122
AL136372.1	228
RN7SKP156	342
AL596211.1	2277
AL592447.1	540
AL929288.1	27928
AL929288.2	407
RPS3AP9	792
AL691515.1	5258
AL691515.2	19064
LINC01035	131575
CLPTM1LP1	484
GAPDHP75	943
RNA5SP73	108
LINC01701	39454
AL591504.1	528
AL359976.1	3528
BRINP3	380743
AL354771.1	97373
LINC01351	2185
AL391645.1	13919
LINC01720	176769
AL139135.1	209
AL139135.2	433
AL138927.1	273266
HNRNPA1P46	937
AL713866.1	3125
AL713866.2	219
LINC01680	7309
AL359081.1	31523
AL954650.1	135766
RGS18	27359
AL390957.1	789928
AL513175.1	780
AL513175.2	443
RGS21	50294
AL136987.1	20913
RGS1	4305
RGS13	24169
AL136454.1	522
MIR4426	63
AL035407.2	673
AL035407.1	571
RGS2	3245
RN7SKP126	300
ZNF101P2	1229
UCHL5	47831
SCARNA18B	135
TROVE2	32356
GLRX2	15249
CDC73	133016
MIR1278	81
B3GALT2	7610
LINC01031	61209
AL357793.1	48142
AL357793.2	4184
RPL23AP22	453
AL356272.1	49222
EEF1A1P14	1376
AL513348.1	1484
RNU6-983P	103
AL353072.1	442
AL353072.2	145794
LINC01724	16078
KCNT2	383447
MIR4735	69
CFH	95627
CFHR3	20612
CFHR1	12433
BX248415.1	34511
CFHR4	30700
CFHR2	15471
AL139418.1	177
CFHR5	32119
F13B	28527
ASPM	62567
SEPT14P12	560
ZBTB41	46863
AL513325.1	1034
CRB1	210252
MRPS21P3	262
AL136322.1	9494
DENND1B	270949
EEF1A1P32	1868
AL365258.2	472
FAM204BP	701
AL365258.1	4647
C1orf53	4721
LHX9	23577
NEK7	165458
PRR13P1	408
ATP6V1G3	17724
AL157402.1	1145
PTPRC	119020
AL157402.2	9509
PEBP1P3	895
MIR181A1HG	129937
MIR181B1	110
MIR181A1	110
AC096631.2	790
AC096631.1	2080
LINC01222	14998
LINC01221	60603
AC099673.1	244710
RPL23AP16	421
AC099335.1	1335
AL596266.1	400
AL445687.1	581
RNU6-778P	103
AL445687.2	728
RNU6-716P	103
RNU6-609P	107
NR5A2	149823
RNU6-570P	105
AC096633.1	749
CCNQP1	645
LINC00862	147287
AC097065.2	533
AC097065.1	517
AC104461.1	145168
ZNF281	5117
AL359834.1	5585
KIF14	69238
DDX59	46074
AL445483.1	24744
CAMSAP2	121147
RPL34P6	345
GPR25	1224
INAVA	24688
MROH3P	49209
RNU6-704P	103
KIF21B	54311
AL358473.1	4844
AL358473.2	11938
CACNA1S	73055
ASCL5	13232
TMEM9	36803
IGFN1	38128
AC103925.1	1011
PKP1	49542
TNNT2	18755
LAD1	26672
AC119427.1	1558
TNNI1	26099
AC096677.3	387
AC096677.2	764
PHLDA3	4855
CSRP1	25927
AC096677.1	27544
RPS10P7	65665
NAV1	204085
AC092800.1	1040
IPO9-AS1	141301
MIR5191	120
AL645504.1	14213
RNU6-501P	100
MIR1231	92
IPO9	55154
MIR6739	75
SHISA4	3627
AL513217.1	6137
LMOD1	50137
TIMM17A	15171
RPL10P4	308
RNPEP	23776
ELF3-AS1	14768
MIR6740	113
ELF3	9244
AL691482.3	4288
AL691482.1	87
AL691482.2	84
CRIP1P3	220
GPR37L1	10735
ARL8A	11340
PTPN7	14576
PTPRVP	21405
LGR6	125881
UBE2T	10324
PPP1R12B	244008
CYCSP4	620
RNU6-89P	100
AC099336.1	1562
AC099336.2	254
SYT2	119822
AC104463.2	1026
AC104463.1	484
KDM5B	84976
AC098934.3	190
SLC25A39P1	1065
AC098934.4	592
PCAT6	1203
MGAT4EP	6960
AC098934.1	9793
AC098934.2	13488
RABIF	10179
KLHL12	37537
HNRNPA1P59	918
ADIPOR1	17750
CYB5R1	5412
AC096632.2	2026
AC096632.1	615
TMEM183A	17463
PPFIA4	52243
MYOG	2905
ADORA1	76752
AC105940.2	696
AC105940.1	7886
MYBPH	8003
CHI3L1	7819
CHIT1	60815
NPM1P40	733
LINC01353	1650
LINC01136	6552
BTG2	4112
RNU6-487P	104
FMOD	11131
AL359837.1	287
LARP7P1	316
PRELP	15525
OPTC	14722
ATP2B4	117521
AL513343.1	792
SNORA77	125
LAX1	11058
ZC3H11A	59346
ZBED6	59286
AC114402.2	643
AC114402.1	328
SNRPE	8948
KRT8P29	1614
HSPE1P6	291
CBX1P3	1141
LINC00303	8819
SOX13	54629
AL592146.1	905
ETNK2	20942
ERLNC1	1602
REN	35506
AL592114.2	532
KISS1	6146
GOLT1A	15933
PLEKHA6	158815
AL592114.3	944
AL592114.1	483
LINC00628	1289
AL606489.1	57997
AL606489.2	234
PPP1R15B	8405
PIK3C2B	72097
MDM4	41742
AL512306.1	848
RNA5SP74	109
AL512306.3	13531
LRRN2	68564
AL512306.2	2938
AL161793.1	742
RNA5SP75	111
NFASC	194172
AL391822.1	562
CNTN2	35348
TMEM81	1332
RBBP5	35874
AL583832.1	784
AC093422.3	305
DSTYK	69062
AC093422.1	552
TMCC2	57457
AC093422.2	3047
NUAK2	19733
KLHDC8A	21026
SNRPGP10	225
LEMD1-AS1	14189
LEMD1	75714
BLACAT1	2994
MIR135B	97
AC098936.1	13096
CDK18	28199
RNU2-19P	84
MFSD4A	34034
RNU6-418P	107
ELK4	34407
AC096533.1	671
SLC45A3	22609
NUCKS1	37458
RF00139	875
RAB29	7475
AC119673.1	8065
SLC41A1	24656
PM20D1	22111
SLC26A9	30413
AL713965.1	641
RAB7B	26722
CTSE	14646
BX571818.1	27005
RHEX	49737
RF00271	159
AVPR1B	8008
AC244035.1	9023
RPL22P4	390
AC244035.2	2187
FAM72A	18236
SRGAP2	261099
AC244023.1	112
IKBKE	26414
MIR6769B	62
C1orf147	6613
AC244034.2	509
RASSF5	81919
AC244034.1	792
AC244034.3	3135
EIF2D	41172
AL591846.2	974
DYRK3	48884
MAPKAPK2	49340
AL591846.1	433
IL10	4893
IL19	44112
IL20	3870
IL24	6697
FCMR	18862
AC098935.2	466
AC098935.1	611
PIGR	17949
FCAMR	12661
C1orf116	14236
PFKFB2	46659
YOD1	9132
C4BPB	11152
C4BPA	40711
AL445493.3	477
AL445493.1	77
C4BPAP1	18415
AL445493.2	4767
C4BPAP2	3405
AL596218.1	69171
CD55	65429
AL391597.1	14546
CR2	35666
CR1	145619
AL137789.1	54631
CR1L	93304
CD46P1	12177
CDCA4P3	689
RNA5SP534	84
AL137789.2	2485
CD46	43457
CDCA4P4	680
MIR29B2CHG	77579
MIR29C	88
MIR29B2	81
CD34	30431
AL356275.2	7097
AL356275.1	10038
PLXNA2	222079
AL606753.1	87
LINC01735	5093
AC099793.1	1345
RPS26P13	330
LINC01717	4497
LINC01774	2854
AC104465.1	139
AC092810.3	7835
AC092810.2	362
AC092810.1	1224
ATP5MC2P1	426
LINC01696	3077
LINC01698	12029
MIR205HG	4019
MIR205	110
AL023754.1	39219
CAMK1G	30222
LAMB3	37597
MIR4260	67
AL031316.1	62762
G0S2	969
HSD11B1	48773
ADORA2BP1	842
TRAF3IP3	26289
C1orf74	5352
IRF6	20553
UTP25	29559
SYT14	233216
SERTAD4-AS1	2592
SERTAD4	13833
ST13P19	1606
AL035414.1	857
HHAT	348045
RNU5A-8P	114
AL034351.1	668
KCNH1	457358
AC096636.1	3618
AL590132.1	276022
IPO8P1	3109
AC092017.3	105662
AC092017.4	98694
KCNH1-IT1	787
AC092017.2	362
AC092017.1	659
RCOR3	58009
TRAF5	48332
LINC00467	52531
SNX25P1	910
ARPC3P2	533
RD3	16396
AC105275.1	663
SLC30A1	7175
AC105275.2	711
AL356310.1	6962
LINC01693	14887
NEK2	16974
FDPSP8	1089
AC096637.2	14342
AC096637.1	9475
LPGAT1	87316
RN7SL344P	296
AL445488.1	23858
AC092814.1	386
INTS7	95144
DTL	71848
RPL21P28	483
MIR3122	73
RN7SKP98	156
AL606468.1	22053
AL451060.1	13700
PPP2R5A	76327
AL360091.2	2132
AL360091.3	32219
RPL23AP18	468
SNORA16B	135
AL360091.1	936
TMEM206	50971
NENF	13493
AC092803.1	928
LINC01740	10372
AC092803.2	1899
ATF3	55444
AL590648.2	2488
FAM71A	2305
AL590648.1	460
AL590648.3	11436
BATF3	13568
NSL1	65630
TATDN3	24799
AC104333.3	479
SPATA45	17509
FLVCR1-DT	5981
AC104333.1	147
AC104333.2	192
FLVCR1	41109
AC104333.4	791
VASH2	41518
ANGEL2	23645
RPS6KC1	223541
RPL31P13	370
AL592402.1	54147
AC096639.1	63172
PROX1-AS1	170758
LINC00538	1906
PROX1	58322
AC011700.1	2627
AL606537.1	2011
AL592287.1	136580
SMYD2	56030
AL929236.1	13444
PTPN14	203754
AL445305.1	575
KRT18P12	1273
CENPF	61394
ABHD17AP3	3371
UBE2V1P13	439
GAPDHP24	983
AC099563.1	418
KCNK2	231319
VDAC1P10	891
AL450990.1	773
KCTD3	54416
USH2A	800503
RF00108	263
AL358452.1	14883
AC093581.1	14453
AC138024.1	10316
MRPS18BP1	192
ESRRG	634510
GPATCH2	204091
SPATA17	240373
SPATA17-AS1	3923
UBBP2	231
LINC00210	27905
AL355526.1	1826
LINC01653	15636
RNU1-141P	158
RRP15	52697
AC096638.2	711
AC096638.1	216
TGFB2-AS1	1483
TGFB2	98385
TGFB2-OT1	1371
C1orf143	15883
NXNP1	1051
LINC01710	3428
LYPLAL1-DT	87360
LYPLAL1	39022
RIMKLBP2	654
AL360093.1	3250
AC096642.1	2614
AL513283.1	49847
AL356364.1	510
ZC3H11B	2436
SLC30A10	273221
RNA5SP76	87
EPRS	78058
BPNT1	32981
IARS2	53940
MIR215	110
MIR194-1	85
RPS15AP12	388
RAB3GAP2	124162
MIR664A	82
SNORA36B	131
AL445435.1	665
KF455155.1	303
MORF4L1P1	967
AURKAP1	1212
XRCC6P3	1621
AL451081.2	933
AL451081.1	453
AC096644.4	2912
AC096644.3	338
AC096644.2	159
PRELID3BP1	855
AC096644.1	1940
MARK1	136279
RN7SL464P	297
HDAC1P2	2317
C1orf115	9313
MARC2	36591
MARC1	32899
RNU6ATAC35P	444
AL445423.1	536
LINC01352	3175
HLX-AS1	47378
HLX	5660
AL445466.1	357
C1orf140	6217
AL360013.2	2421
AL360013.1	858
DUSP10	40753
LINC01655	13001
RNU6-403P	104
LINC02257	97543
LINC02474	18624
LINC01705	23059
AL356108.1	298266
QRSL1P2	964
AL513314.1	1968
CICP13	2789
AL513314.2	27371
RNU6-791P	104
AL592148.2	9564
HHIPL2	25846
TAF1A	32032
TAF1A-AS1	3208
MIA3	49927
AL592148.1	445
AL592148.3	2646
AIDA	45198
BROX	22644
FAM177B	13599
AL392172.1	22363
AC093152.1	179843
DISP1	133725
NDUFB1P2	176
TLR5	33877
AL359979.2	906
AL359979.1	7011
SUSD4	143384
RNU4-57P	135
CCDC185	2054
CAPN8	127728
SNRPEP10	274
RNU6-1248P	64
CAPN2	74426
TP53BP2	66074
PHBP11	809
ACTBP11	1126
CICP5	2812
GTF2IP20	41201
RNU6-1319P	104
AC138393.1	17870
AC138393.3	935
AC138393.2	4353
RN7SKP49	260
FBXO28	47961
AC092809.3	231
DEGS1	17686
AC092809.2	4533
AC092809.4	8431
NVL	103054
MIR320B2	138
AC092809.1	955
RNU6-1008P	104
CNIH4	22610
WDR26	51891
MIR4742	85
CNIH3	305890
AKR1B1P1	956
AC096537.1	4817
AC096537.2	714
AL596330.1	13159
AL391811.1	6442
DNAH14	503031
LBR	27424
AC092811.1	18101
AC092811.2	8817
ENAH	166308
AC099066.2	51640
AC099066.1	25307
RNU6-1304P	106
SRP9	12654
AC099066.3	301
EPHX1	35472
AL591895.1	5640
TMEM63A	36834
LEFTY1	25101
AL117348.2	37583
PYCR2	4464
MIR6741	63
AL117348.1	1147
LEFTY2	4892
NDUFA3P3	250
SDE2	16630
AL512343.2	1165
H3F3A	10151
LINC01703	6654
AL512343.1	169
ACBD3	42052
ACBD3-AS1	7069
AL592045.1	352
MIXL1	3437
LIN9	78721
YBX1P9	679
AL359742.1	1657
PARP1	47389
AL359704.2	521
AL359704.1	781
RN7SKP165	356
CDKN2AIPNLP1	302
STUM	60415
ITPKB	107634
ITPKB-IT1	18428
ITPKB-AS1	7449
RPS27P5	244
PSEN2	25922
COQ8A	90010
AL353689.1	199
CDC42BPA	328610
AL353689.2	1067
AL451047.1	5112
AL627308.1	1087
AL627308.2	432
LINC01641	37445
NUCKS1P1	703
AL606462.1	451
BTF3P9	283
AL451054.2	202
AL451054.3	1606
TUBB8P10	2114
TUBB8P9	2111
AL451054.1	1591
RNA5SP77	120
ZNF678	113901
AL592310.1	671
ZNF847P	9808
SNAP47	52693
JMJD4	4987
SNAP47-AS1	3361
PRSS38	30778
WNT9A	29243
MIR5008	94
CICP26	2804
SEPT14P17	177
WNT3A	54210
AL136379.1	2642
ARF1	16553
MIR3620	79
C1orf35	4686
MRPL55	2634
FAM96AP2	477
AL359510.2	2249
AL359510.1	208
GUK1	9023
GJC2	9975
IBA57-DT	1427
IBA57	16443
OBSCN-AS1	10159
OBSCN	170745
AL353593.1	3955
AL353593.2	1483
AL353593.3	7088
AL670729.3	903
TRIM11	13168
AL670729.2	2678
MIR6742	62
AL670729.1	2314
TRIM17	8922
HIST3H3	481
RPL23AP15	459
HIST3H2A	895
HIST3H2BB	2364
MIR4666A	79
HIST3H2BA	524
AL139288.1	933
RNF187	8706
BTNL10	1881
RNA5SP19	109
RNA5SP162	44
RNA5S1	119
RNA5S2	119
RNA5S3	119
RNA5S4	119
RNA5S5	119
RNA5S6	119
RNA5S7	119
RNA5S8	119
RNA5S9	119
RNA5S10	119
RNA5S11	119
RNA5S12	119
RNA5S13	119
RNA5S14	119
RNA5S15	119
RNA5S16	119
RNA5S17	119
RNA5SP18	121
DUSP5P1	1139
FTH1P2	412
RHOU	11593
AL078624.2	554
AL078624.1	547
AL137793.2	15502
ISCA1P2	421
AL137793.1	2091
AL162595.2	4102
TMEM78	2175
AL162595.1	12748
RAB4A	34833
SPHAR	648
AL117350.1	3685
CCSAP	22290
RNU6-180P	61
RN7SKP276	268
AL160004.2	631
ACTA1	2854
NUP133	68082
AL160004.1	737
AL121990.1	5772
ABCB10	42114
RNU4-21P	126
RNA5SP78	118
HMGN2P19	265
TAF5L	32937
URB2	33966
AL354983.1	906
HMGB1P26	628
LINC01682	10203
LINC01736	4433
GALNT2	224135
AL136988.2	9790
AL136988.1	1582
PGBD5	111890
AL133516.1	10332
LINC01737	2924
AL158214.1	404
COG2	51494
AGT	11775
AL512328.1	84795
CAPN9	54620
RNA5SP79	109
AL118511.2	1067
C1orf198	32471
AL118511.1	4170
RN7SL837P	287
TTC13	72633
ARV1	21615
FAM89A	21289
MIR1182	97
AL732414.1	573
AL109810.1	495
TRIM67	59445
AL109810.2	3530
C1orf131	17425
GNPAT	36767
RNA5SP80	111
EXOC8	5100
SPRTN	17920
EGLN1	61294
SNRPD2P2	333
AL445524.1	6169
TSNAX	37872
TSNAX-DISC1	290592
LINC00582	20799
DISC1	414458
RNU5A-5P	116
RF02102	205
DISC1-IT1	19400
AL353052.1	25553
AL353052.2	5182
BX323014.1	237
RN7SL299P	280
SIPA1L2	163594
RNU6-1211P	105
LINC01745	4180
LINC01744	15462
MAP10	3516
RNU1-74P	171
AL122003.1	784
NTPCR	33278
PCNX2	312279
RPS7P3	580
AL133380.1	403
MAP3K21	57381
RNU4-77P	156
KCNK1	58509
MIR4427	68
AL663058.1	353
SLC35F3	419584
RAC1P7	377
AL122008.3	2483
AL122008.1	12760
AL122008.4	3918
AL122008.2	570
MIR4671	73
AL355472.2	438
AL355472.3	8823
AL355472.4	626
AL355472.1	787
COA6	10594
TARBP1	87791
LINC01354	3889
AL161640.1	4791
RF00096	2945
IRF2BP2	5257
AL160408.2	2476
LINC00184	5470
AL160408.5	2906
AL160408.1	36888
AL160408.4	6834
AL160408.3	26631
AL160408.6	10838
LINC01132	12679
AL360294.1	2438
RNY4P16	94
RN7SL668P	303
AL391832.1	2759
AL391832.2	12721
AL391832.3	1158
LINC01348	8742
AL732292.1	226
AL732292.2	430
TOMM20	19601
SNORA14B	135
RBM34	30275
ARID4B	196586
MIR4753	83
RPL23AP23	471
GGPS1	17183
TBCE	123874
AL391994.1	282
AL357556.1	1388
AL357556.4	1014
RPS21P1	247
B3GALNT2	54559
MTCYBP14	715
MTND6P14	522
MTND5P19	1794
MTND4P10	1363
MTND4LP21	295
MTND3P8	339
MTCO3P46	232
GNG4	103068
FO393422.1	1177
AL583844.1	1724
LYST	222600
LDHAP2	985
LYST-AS1	700
MIR1537	61
RNU6-968P	107
AL139161.2	1253
AL139161.1	13947
NID1	89333
AL122018.1	2310
GPR137B	79361
ERO1B	66431
RNU2-70P	179
AL450309.1	985
EDARADD	154659
ENO1P1	1304
LGALS8	34982
LGALS8-AS1	1457
AL359921.2	543
AL359921.1	10187
HEATR1	55500
ACTN2	78178
MTR	108701
RPSAP21	885
RPL35P1	370
MT1HL1	316
RYR2	791784
RN7SKP195	303
MIR4428	73
AL359924.1	66147
ZP4	13059
AL590396.1	775
AL590396.3	300
AL590396.2	1041
AL590396.4	956
MTRNR2L11	1552
MTCYBP15	1127
MTND6P15	521
MTND5P18	1801
YWHAQP9	832
AL356010.1	102
AL356010.2	10980
RNU6-725P	102
LINC01139	9513
AL359551.1	52861
KRT18P32	1287
MIPEPP2	2152
AL590135.1	156
AC093426.1	3011
CHRM3	528888
CHRM3-AS2	27085
CHRM3-AS1	1857
AL356361.2	1517
AL356361.1	1459
RPS7P5	581
FMN2	460842
AL359918.1	2720
ADH5P3	1137
AL359918.2	1806
AL590490.1	453
GREM2	122577
AL358176.1	411
AL358176.2	512
AL358176.4	2227
AL358176.3	454
RNU5F-8P	111
AL358176.5	385
AL365184.2	435
AL365184.1	12663
THAP12P8	2115
RGS7	581716
RFKP1	428
HNRNPA1P42	957
AL590682.1	344
MIR3123	75
AL592076.1	303
AL359764.1	9201
FH	22159
KMO	63509
OPN3	87275
CHML	11402
WDR64	149856
AL365366.1	853
EXO1	47182
RPL23AP20	421
BECN2	1296
CFL1P4	498
MAP1LC3C	3584
TUBB8P6	3158
BX571673.1	2106
PLD5	441711
AL591686.2	61616
RN7SKP12	143
AL591686.1	7273
AL360271.2	161
RPL10AP5	634
AL360271.1	510
AC099785.1	437
RSL24D1P4	484
AL445675.1	1410
AL445675.2	557
AL603825.1	80
AL606534.3	1624
SEPT14P21	22741
AL606534.5	1838
AL606534.4	1534
LINC01347	45438
RNU6-747P	104
CEP170	130921
AL606534.1	4691
AL606534.2	4808
SDCCAG8	244059
FCF1P7	863
MIR4677	80
AKT3	362847
AL591721.1	2798
FABP7P1	391
AL662889.1	37965
AKT3-IT1	1196
AL591885.1	129916
ZBTB18	8538
AL590483.3	3580
AL590483.1	24207
RN7SL148P	279
AL590483.2	1647
C1orf100	37029
AL645465.1	34493
TGIF2P1	685
ADSS	43641
CATSPERE	186801
CYCSP5	297
DESI2	56099
AL451007.1	289
AL451007.3	1065
AL451007.2	563
COX20	9736
HNRNPU	23923
BX323046.1	535
RN7SKP55	307
RNU6-947P	106
AL356512.1	1739
EFCAB2	157460
RNU6-1089P	104
RNU6-999P	105
AL589763.1	980
RNU1-132P	164
KIF26B	554447
KIF26B-AS1	28058
DNAJC19P8	259
AC104462.2	373
AC104462.1	2747
SMYD3	757971
AC118555.1	9707
AC092801.1	5241
CHCHD4P5	427
RNU6-1283P	105
SMYD3-IT1	776
AL356583.1	13555
LINC01743	8249
AL356583.3	1126
AL356583.2	280
TFB2M	25765
CNST	102141
AL591623.1	2230
AL591623.2	228
AL591848.3	2968
AL591848.2	1775
SCCPDH	44091
AL591848.1	322
KIF28P	67775
AL591848.4	3472
LINC01341	16373
AC113174.1	105
AHCTF1	92870
ZNF695	62547
ZNF670-ZNF695	133265
AL512637.2	2224
ZNF670	41972
AL512637.1	1231
AL627095.1	679
ZNF669	4411
C1orf229	2258
FGFR3P6	610
ZNF124	50042
AL390728.3	270
AL390728.2	1670
AL390728.6	1246
AL390728.4	21006
MIR3916	94
RNA5SP82	92
AL390728.5	31133
AL390728.1	1941
VN1R17P	1090
VN1R5	1239
ZNF496	34435
NLRP3	32953
OR2B11	8988
OR2W5	4323
GCSAML	70633
OR2C3	11764
GCSAML-AS1	7935
AL606804.1	75216
OR2G2	954
OR2G3	930
OR14L1P	5230
AL390860.1	107314
OR3D1P	955
OR13G1	8928
OR6F1	5211
AC118470.1	11952
OR14A2	1087
OR14K1	945
OR1C1	5711
OR9H1P	9356
OR14A16	9460
HSD17B7P1	1017
OR6R1P	940
OR11L1	969
TRIM58	21007
OR2W3	945
OR2T8	1705
OR2AJ1	10451
CLK3P2	1453
OR2X1P	687
OR2L8	939
OR2AK2	1154
OR2L9P	913
OR2L1P	10333
OR2L6P	940
OR2L5	10617
OR2L2	12236
OR2L3	16572
OR2T32P	4001
OR2L13	5920
OR2M1P	951
OR2M5	939
OR2M2	6247
OR2M3	15661
OR2M4	13263
OR2T33	8060
OR2T12	13286
OR2M7	939
OR14C36	939
OR2T4	1047
OR2T6	16066
OR2T1	4973
OR2T7	7958
OR2T2	10214
OR2T3	957
AC138089.1	1240
OR2T5	2525
OR2AS2P	342
OR2G6	19265
AC098483.1	15084
OR2AS1P	319
OR2T29	5861
OR2T34	957
OR2T10	7214
AC098483.2	454
OR2T11	11535
OR2T35	8923
OR2T27	5691
OR14I1	936
CR589904.1	24996
CR589904.2	440
LYPD8	37091
AHCYP8	209
DPY19L4P1	2158
SH3BP5L	16188
MIR3124	67
ZNF672	11308
ZNF692	9139
AL672291.1	5633
PGBD2	13751
RNU6-1205P	106
RPL23AP25	463
FAM110C	8057
AC079779.1	5037
SH3YL1	48669
ACP1	14144
ALKAL2	9294
AC079779.2	15097
AC079779.3	9257
AC079779.4	1742
LINC01865	24207
AC105393.2	28474
AC105393.1	1247
LINC01874	1712
AC093326.2	903
LINC01875	863
AC093326.1	19942
TMEM18	10105
AC092159.2	20186
AC092159.4	550
AC092159.3	1153
AC092159.1	6259
LINC01115	89346
AC116609.2	7880
AC116609.1	5280
LINC01939	5236
AC113607.1	10199
AC116614.1	648
SNTG2	416746
AC114808.1	9209
AC114808.2	2115
AC108462.1	5525
AC105450.1	214514
TPO	169646
AC141930.1	73449
AC141930.2	2257
AC144450.1	4910
PXDN	112966
MYT1L	542552
AC093390.2	16002
AC093390.1	4256
MYT1L-AS1	7879
AC018685.2	14642
AC018685.1	1050
AC011995.2	4128
AC011995.1	674
LINC01250	230979
AC019118.2	14200
AC019118.1	1042
EIPR1	188958
EIPR1-IT1	3125
TRAPPC12	105420
TRAPPC12-AS1	1168
AC114810.1	473
ADI1	22376
AC231981.1	3923
AC108488.1	5061
AC108488.2	15974
RNASEH1	13824
RNASEH1-AS1	3254
RPS7	5716
COLEC11	49813
AC010907.2	846
TMSB4XP2	210
ALLC	44477
GAPDHP48	961
AC010907.1	1569
DCDC2C	143820
LINC01304	16416
AC012445.1	4088
NPM1P48	853
LINC01249	27994
RNU6-649P	107
AC073143.1	395
AC107057.1	6252
LINC01248	88984
AC108025.1	72792
SOX11	8719
AC108025.2	11876
AC010729.1	3894
LINC01810	1956
LINC01105	68589
MIR7158	71
AC017053.1	83435
LINC01247	9413
PIK3CDP1	922
LINC01824	7804
MIR7515HG	35147
MIR7515	67
LINC00487	42135
NRIR	11951
CMPK2	26066
RSAD2	32434
AC017076.1	578
RNF144A-AS1	6433
RNF144A	150895
AC068481.1	15556
RN7SKP112	318
AC010904.2	634
AC010904.1	315
AC013460.1	28994
RNU6ATAC37P	131
AC092580.2	643
LINC01871	4905
AC092580.3	139
AC092580.1	658
AC007463.1	12886
LINC00298	355660
LINC00299	375851
U91324.1	3868
AC092617.1	16608
LINC01814	86458
AC011747.1	22051
SNRPEP5	278
ID2-AS1	15228
ID2	5609
KIDINS220	116550
MBOAT2	151124
HMGB1P25	607
RPL30P3	333
AC093904.2	1675
AC093904.4	3273
AC093904.3	1688
AC093904.1	2941
ASAP2	198919
EIF1P7	337
ITGB1BP1	20073
CPSF3	49534
IAH1	22886
ADAM17	68247
AC080162.1	6968
AC073195.1	877
YWHAQ	47043
AC082651.1	10668
AC082651.4	34391
RNU4-73P	141
AC082651.2	166
AC082651.3	12846
TAF1B	91063
AC010969.2	3231
GRHL1	50585
AC010969.1	2873
AC104794.3	1248
AC104794.2	1572
KLF11	11988
AC104794.4	446
CYS1	24165
AC104794.1	2321
RRM2	10722
AC007240.1	76550
C2orf48	70344
MIR4261	58
RN7SL66P	264
AC007240.2	14686
HPCAL1	124729
ODC1	8537
