Geneid,chr,length
FGFR3P6,chr1,610
ZNF124,chr1,4517
AL390728.3,chr1,270
AL390728.2,chr1,1670
AL390728.6,chr1,1246
AL390728.4,chr1,2160
MIR3916,chr1,94
RNA5SP82,chr1,92
AL390728.5,chr1,706
AL390728.1,chr1,1941
VN1R17P,chr1,1090
VN1R5,chr1,1239
ZNF496,chr1,10531
NLRP3,chr1,4757
OR2B11,chr1,6414
OR2W5,chr1,1647
GCSAML,chr1,4680
OR2C3,chr1,8509
GCSAML-AS1,chr1,4179
AL606804.1,chr1,894
OR2G2,chr1,954
OR2G3,chr1,930
OR14L1P,chr1,3009
AL390860.1,chr1,1882
OR3D1P,chr1,955
OR13G1,chr1,2568
OR6F1,chr1,1762
AC118470.1,chr1,453
OR14A2,chr1,1087
OR14K1,chr1,945
OR1C1,chr1,3980
OR9H1P,chr1,4888
OR14A16,chr1,1367
HSD17B7P1,chr1,1017
OR6R1P,chr1,940
OR11L1,chr1,969
TRIM58,chr1,3225
OR2W3,chr1,945
OR2T8,chr1,1226
OR2AJ1,chr1,1873
CLK3P2,chr1,1453
OR2X1P,chr1,687
OR2L8,chr1,939
OR2AK2,chr1,1154
OR2L9P,chr1,913
OR2L1P,chr1,1023
OR2L6P,chr1,940
OR2L5,chr1,2429
OR2L2,chr1,4375
OR2L3,chr1,2929
OR2T32P,chr1,1114
OR2L13,chr1,2019
OR2M1P,chr1,951
OR2M5,chr1,939
OR2M2,chr1,1229
OR2M3,chr1,9933
OR2M4,chr1,5934
OR2T33,chr1,4132
OR2T12,chr1,5722
OR2M7,chr1,939
OR14C36,chr1,939
OR2T4,chr1,1047
OR2T6,chr1,4670
OR2T1,chr1,2224
OR2T7,chr1,3733
OR2T2,chr1,3530
OR2T3,chr1,957
AC138089.1,chr1,967
OR2T5,chr1,2525
OR2AS2P,chr1,342
OR2G6,chr1,6197
AC098483.1,chr1,1331
OR2AS1P,chr1,319
OR2T29,chr1,2637
OR2T34,chr1,957
OR2T10,chr1,3522
AC098483.2,chr1,454
OR2T11,chr1,3770
OR2T35,chr1,2957
OR2T27,chr1,1285
OR14I1,chr1,936
CR589904.1,chr1,923
CR589904.2,chr1,440
LYPD8,chr1,2237
AHCYP8,chr1,209
DPY19L4P1,chr1,2158
SH3BP5L,chr1,6442
MIR3124,chr1,67
ZNF672,chr1,3741
ZNF692,chr1,3929
AL672291.1,chr1,462
PGBD2,chr1,3651
RNU6-1205P,chr1,106
RPL23AP25,chr1,463
FAM110C,chr2,3968
AC079779.1,chr2,4775
SH3YL1,chr2,11165
ACP1,chr2,4160
ALKAL2,chr2,2191
AC079779.2,chr2,922
AC079779.3,chr2,3312
AC079779.4,chr2,548
LINC01865,chr2,1505
AC105393.2,chr2,549
AC105393.1,chr2,674
LINC01874,chr2,510
AC093326.2,chr2,729
LINC01875,chr2,660
AC093326.1,chr2,762
TMEM18,chr2,5044
AC092159.2,chr2,2298
AC092159.4,chr2,550
AC092159.3,chr2,571
AC092159.1,chr2,706
LINC01115,chr2,3778
AC116609.2,chr2,256
AC116609.1,chr2,535
LINC01939,chr2,759
AC113607.1,chr2,589
AC116614.1,chr2,539
SNTG2,chr2,4469
AC114808.1,chr2,432
AC114808.2,chr2,536
AC108462.1,chr2,850
AC105450.1,chr2,2569
TPO,chr2,8453
AC141930.1,chr2,786
AC141930.2,chr2,762
AC144450.1,chr2,1641
PXDN,chr2,11257
MYT1L,chr2,35151
AC093390.2,chr2,1722
AC093390.1,chr2,3403
MYT1L-AS1,chr2,3244
AC018685.2,chr2,547
AC018685.1,chr2,368
AC011995.2,chr2,574
AC011995.1,chr2,578
LINC01250,chr2,2344
AC019118.2,chr2,952
AC019118.1,chr2,435
EIPR1,chr2,5775
EIPR1-IT1,chr2,718
TRAPPC12,chr2,9193
TRAPPC12-AS1,chr2,908
AC114810.1,chr2,473
ADI1,chr2,5560
AC231981.1,chr2,974
AC108488.1,chr2,1532
AC108488.2,chr2,421
RNASEH1,chr2,2865
RNASEH1-AS1,chr2,1218
RPS7,chr2,5584
COLEC11,chr2,2778
AC010907.2,chr2,693
TMSB4XP2,chr2,210
ALLC,chr2,2542
GAPDHP48,chr2,961
AC010907.1,chr2,807
DCDC2C,chr2,2242
LINC01304,chr2,3443
AC012445.1,chr2,607
NPM1P48,chr2,853
LINC01249,chr2,3099
RNU6-649P,chr2,107
AC073143.1,chr2,395
AC107057.1,chr2,319
LINC01248,chr2,468
AC108025.1,chr2,1115
SOX11,chr2,8719
AC108025.2,chr2,1199
AC010729.1,chr2,1746
LINC01810,chr2,411
LINC01105,chr2,8200
MIR7158,chr2,71
AC017053.1,chr2,2052
LINC01247,chr2,4209
PIK3CDP1,chr2,922
LINC01824,chr2,528
MIR7515HG,chr2,7129
MIR7515,chr2,67
LINC00487,chr2,2202
NRIR,chr2,973
CMPK2,chr2,4302
RSAD2,chr2,4834
AC017076.1,chr2,578
RNF144A-AS1,chr2,4648
RNF144A,chr2,6473
AC068481.1,chr2,1586
RN7SKP112,chr2,318
AC010904.2,chr2,634
AC010904.1,chr2,315
AC013460.1,chr2,3239
RNU6ATAC37P,chr2,131
AC092580.2,chr2,469
LINC01871,chr2,243
AC092580.3,chr2,139
AC092580.1,chr2,658
AC007463.1,chr2,796
LINC00298,chr2,2610
LINC00299,chr2,4418
U91324.1,chr2,447
AC092617.1,chr2,3391
LINC01814,chr2,12173
AC011747.1,chr2,565
SNRPEP5,chr2,278
ID2-AS1,chr2,2060
ID2,chr2,2205
KIDINS220,chr2,15362
MBOAT2,chr2,8798
HMGB1P25,chr2,607
RPL30P3,chr2,333
AC093904.2,chr2,817
AC093904.4,chr2,3273
AC093904.3,chr2,368
AC093904.1,chr2,455
ASAP2,chr2,7257
EIF1P7,chr2,337
ITGB1BP1,chr2,6678
CPSF3,chr2,3769
IAH1,chr2,5908
ADAM17,chr2,10750
AC080162.1,chr2,491
AC073195.1,chr2,877
YWHAQ,chr2,2713
AC082651.1,chr2,832
AC082651.4,chr2,1852
RNU4-73P,chr2,141
AC082651.2,chr2,166
AC082651.3,chr2,1947
TAF1B,chr2,4064
AC010969.2,chr2,3231
GRHL1,chr2,7952
AC010969.1,chr2,2412
AC104794.3,chr2,1248
AC104794.2,chr2,1572
KLF11,chr2,4589
AC104794.4,chr2,446
CYS1,chr2,2847
AC104794.1,chr2,312
RRM2,chr2,5323
AC007240.1,chr2,2629
C2orf48,chr2,2502
MIR4261,chr2,58
RN7SL66P,chr2,264
AC007240.2,chr2,1871
HPCAL1,chr2,6237
ODC1,chr2,2968
SNORA80B,chr2,136
AC007249.2,chr2,1753
AC007249.1,chr2,494
NOL10,chr2,3824
AC007314.1,chr2,565
RN7SL832P,chr2,1756
AC092687.2,chr2,568
ATP6V1C2,chr2,3483
RNU7-138P,chr2,64
AC092687.3,chr2,393
PDIA6,chr2,4101
RNU7-176P,chr2,62
AC092687.1,chr2,389
AC079587.1,chr2,277
LINC01954,chr2,461
KCNF1,chr2,2289
AC062028.1,chr2,856
FLJ33534,chr2,2705
C2orf50,chr2,2938
PQLC3,chr2,2275
ROCK2,chr2,10145
RNU6-1081P,chr2,107
AC018463.1,chr2,917
PPIAP60,chr2,492
AC099344.1,chr2,1061
AC099344.2,chr2,626
LINC00570,chr2,1650
AC099344.3,chr2,1832
E2F6,chr2,4067
GREB1,chr2,12361
RNA5SP84,chr2,107
MIR4429,chr2,73
RNU2-13P,chr2,113
RNA5SP85,chr2,119
AC011994.1,chr2,119
RN7SL674P,chr2,275
NTSR2,chr2,1569
AC110754.1,chr2,601
AC106875.2,chr2,596
LPIN1,chr2,11861
AC106875.1,chr2,1171
AC012456.1,chr2,1605
AC012456.2,chr2,561
MIR548S,chr2,82
MIR4262,chr2,54
MIR3681HG,chr2,3876
RF00093,chr2,140
MIR3681,chr2,72
RNU6-843P,chr2,104
AC096559.1,chr2,399
AC009486.1,chr2,813
TRIB2,chr2,4588
MIR3125,chr2,78
AC064875.1,chr2,2846
AC093912.1,chr2,2240
AC073062.1,chr2,455
LINC00276,chr2,3848
AC016730.1,chr2,832
RNU6-1288P,chr2,104
AC011897.1,chr2,346
FAM84A,chr2,8384
AC068286.1,chr2,467
NBAS,chr2,8948
AC007738.1,chr2,348
AC008278.2,chr2,409
DDX1,chr2,3833
AC008278.1,chr2,568
LINC01804,chr2,2223
AC113608.2,chr2,487
RNU5E-7P,chr2,117
AC113608.1,chr2,305
MYCNUT,chr2,1039
MYCNOS,chr2,2413
MYCN,chr2,2602
RN7SL104P,chr2,293
AC010145.1,chr2,516
GACAT3,chr2,1330
AC130710.1,chr2,1262
AC174048.1,chr2,144
AC010745.1,chr2,637
AC010745.2,chr2,4012
AC010745.3,chr2,415
AC010745.5,chr2,720
AC010745.4,chr2,740
AC010880.1,chr2,477
AC104623.1,chr2,1457
AC104623.2,chr2,4006
FAM49A,chr2,5448
AC008164.1,chr2,710
AC008069.1,chr2,950
LINC01866,chr2,201
RN7SKP168,chr2,300
ZFYVE9P2,chr2,604
PSMC1P10,chr2,1327
RAD51AP2,chr2,3724
VSNL1,chr2,3833
SMC6,chr2,9824
GEN1,chr2,11827
MSGN1,chr2,606
KCNS3,chr2,3131
AC079148.1,chr2,819
RDH14,chr2,1587
NT5C1B-RDH14,chr2,2150
NT5C1B,chr2,3987
RNU6-1215P,chr2,102
AC106053.1,chr2,368
LINC01376,chr2,3043
MIR4757,chr2,77
OSR1,chr2,5309
AC010096.1,chr2,1709
LINC01808,chr2,2614
AC019055.1,chr2,443
CISD1P1,chr2,327
LINC00954,chr2,4808
TTC32,chr2,1986
AC013400.1,chr2,545
WDR35,chr2,7836
AC079145.1,chr2,541
MATN3,chr2,3118
LAPTM4A,chr2,1946
AC098828.2,chr2,573
AC098828.3,chr2,746
AC098828.1,chr2,440
RN7SL140P,chr2,294
RNU6-961P,chr2,105
SDC1,chr2,3595
AC007041.1,chr2,1155
RNU7-113P,chr2,62
PUM2,chr2,6978
SLC7A15P,chr2,1363
RNA5SP86,chr2,98
RHOB,chr2,2372
AC023137.1,chr2,308
AC012065.1,chr2,686
AC012065.5,chr2,510
HS1BP3,chr2,9059
AC012065.3,chr2,439
HS1BP3-IT1,chr2,600
AC012065.2,chr2,375
GDF7,chr2,9749
AC012065.4,chr2,679
LDAH,chr2,4433
AC012361.1,chr2,1498
AC115619.1,chr2,1605
APOB,chr2,14828
AC010872.1,chr2,675
TDRD15,chr2,6135
AC067959.1,chr2,379
AC018742.1,chr2,882
AC011752.1,chr2,1457
NUTF2P8,chr2,363
AC009411.2,chr2,1873
AC009411.1,chr2,795
LINC01822,chr2,2098
RN7SL117P,chr2,296
AC096570.1,chr2,4118
AC068044.1,chr2,1978
AC099799.1,chr2,192
RNA5SP87,chr2,118
AC096570.2,chr2,569
LINC01884,chr2,440
RN7SKP27,chr2,333
AC018467.1,chr2,1536
AC012506.1,chr2,525
AC012506.3,chr2,892
AC012506.2,chr2,533
AC012506.4,chr2,751
KLHL29,chr2,11071
AC011239.1,chr2,584
AC011239.2,chr2,1489
AC009242.1,chr2,2706
ATAD2B,chr2,10492
PGAM1P6,chr2,747
AC066692.1,chr2,457
UBXN2A,chr2,6882
SDHCP3,chr2,506
RN7SL610P,chr2,291
MFSD2B,chr2,4438
WDCP,chr2,3847
RNU6-370P,chr2,104
FKBP1B,chr2,1677
SF3B6,chr2,1197
FAM228B,chr2,4916
TP53I3,chr2,2312
PFN4,chr2,1056
AC008073.3,chr2,2400
AC008073.2,chr2,1190
FAM228A,chr2,2265
AC008073.1,chr2,543
ITSN2,chr2,12022
AC009228.1,chr2,627
RF00602,chr2,294
HMGN2P20,chr2,273
RPL36AP13,chr2,317
NCOA1,chr2,8633
RNA5SP88,chr2,109
RNU6-936P,chr2,107
PTRHD1,chr2,1917
CENPO,chr2,5518
ADCY3,chr2,6058
AC012073.1,chr2,1108
DNAJC27,chr2,5624
AC013267.1,chr2,267
RF00016,chr2,90
DNAJC27-AS1,chr2,5651
EFR3B,chr2,10591
RN7SL856P,chr2,298
SUCLA2P3,chr2,1357
POMC,chr2,1538
LINC01381,chr2,466
DNMT3A,chr2,12020
MIR1301,chr2,82
AC012074.1,chr2,1809
DTNB,chr2,7146
AC104699.1,chr2,414
ASXL2,chr2,13023
TPM3P7,chr2,732
PTGES3P2,chr2,482
AC064847.1,chr2,506
NDUFB4P4,chr2,243
KIF3C,chr2,6403
UQCRHP2,chr2,288
TRMT112P6,chr2,372
RAB10,chr2,3631
RNU6-942P,chr2,107
AC011742.3,chr2,820
AC011742.2,chr2,352
SMARCE1P6,chr2,1216
AC011742.1,chr2,434
PPIL1P1,chr2,499
GAREM2,chr2,5939
HADHA,chr2,4385
HADHB,chr2,4280
ADGRF3,chr2,5761
SELENOI,chr2,8552
DRC1,chr2,3048
OTOF,chr2,7885
C2orf70,chr2,2507
CIB4,chr2,1049
AC015977.2,chr2,567
AC015977.1,chr2,292
KCNK3,chr2,6223
SLC35F6,chr2,3902
CENPA,chr2,1983
CDKN2AIPNLP2,chr2,352
DPYSL5,chr2,7079
AC013472.2,chr2,306
MAPRE3,chr2,3630
AC013472.1,chr2,2563
TMEM214,chr2,4910
AGBL5,chr2,5283
AGBL5-AS1,chr2,407
AC013472.3,chr2,659
AGBL5-IT1,chr2,339
AC013403.2,chr2,480
OST4,chr2,719
EMILIN1,chr2,3958
KHK,chr2,3060
CGREF1,chr2,4039
ABHD1,chr2,4630
PREB,chr2,3221
PRR30,chr2,2008
TCF23,chr2,5123
AC013403.1,chr2,263
SLC5A6,chr2,5606
ATRAID,chr2,2019
CAD,chr2,8422
SLC30A3,chr2,5978
DNAJC5G,chr2,2350
TRIM54,chr2,2764
UCN,chr2,795
MPV17,chr2,5625
GTF3C2,chr2,5839
GTF3C2-AS1,chr2,3253
AC074117.1,chr2,3412
EIF2B4,chr2,5341
SNX17,chr2,3765
ZNF513,chr2,2365
PPM1G,chr2,4092
FTH1P3,chr2,584
NRBP1,chr2,5329
KRTCAP3,chr2,1403
IFT172,chr2,8401
AC074117.2,chr2,397
RNU6-986P,chr2,102
FNDC4,chr2,1982
GCKR,chr2,3146
C2orf16,chr2,16402
ZNF512,chr2,4398
AC074091.1,chr2,1741
CCDC121,chr2,2844
GPN1,chr2,3746
RF00340,chr2,259
SUPT7L,chr2,5309
SLC4A1AP,chr2,5207
LINC01460,chr2,2860
MRPL33,chr2,1539
RBKS,chr2,3585
BABAM2,chr2,3392
AC021171.2,chr2,1080
MIR4263,chr2,83
AC021171.1,chr2,706
AC093690.1,chr2,2110
RPL23AP34,chr2,410
FLJ31356,chr2,3001
FOSL2,chr2,7157
AC104695.3,chr2,296
AC104695.2,chr2,775
AC104695.1,chr2,849
PLB1,chr2,8238
SNRPGP7,chr2,106
AC074011.1,chr2,581
RNA5SP89,chr2,108
AC092164.1,chr2,1438
PPP1CB,chr2,5760
SPDYA,chr2,3483
AC097724.1,chr2,426
TRMT61B,chr2,2056
WDR43,chr2,4130
SNORD92,chr2,85
SNORD53,chr2,78
SNORD53B,chr2,78
TOGARAM2,chr2,19816
PCARE,chr2,7273
AC105398.1,chr2,402
CLIP4,chr2,7775
ALK,chr2,7362
RN7SL516P,chr2,297
AC106870.2,chr2,691
AC106870.1,chr2,200
AC016907.2,chr2,4218
AC016907.1,chr2,435
YPEL5,chr2,3421
SNORA10B,chr2,133
AC104698.1,chr2,276
LBH,chr2,4697
LINC01936,chr2,2952
AC073255.1,chr2,177
LCLAT1,chr2,7517
AC132154.1,chr2,2134
CAPN13,chr2,5191
AC092569.1,chr2,258
AC009301.1,chr2,805
GALNT14,chr2,4567
AC009305.1,chr2,368
CAPN14,chr2,4014
RNA5SP90,chr2,99
EHD3,chr2,4636
AL121657.1,chr2,531
XDH,chr2,6037
SRD5A2,chr2,4648
AL133247.1,chr2,646
AL133247.2,chr2,482
LINC01946,chr2,418
KRT18P52,chr2,846
AK2P2,chr2,405
AL121652.1,chr2,448
MEMO1,chr2,5220
DPY30,chr2,2745
AL121655.1,chr2,308
SPAST,chr2,9490
AL121658.1,chr2,712
SLC30A6,chr2,5410
DDX50P1,chr2,2400
RNU6-647P,chr2,107
NLRC4,chr2,3624
YIPF4,chr2,12233
AL133245.1,chr2,1365
BIRC6,chr2,17858
BIRC6-AS1,chr2,697
AL133243.2,chr2,1621
AL133243.3,chr2,3004
MIR558,chr2,94
AL133243.1,chr2,366
BIRC6-AS2,chr2,1066
AL133243.4,chr2,3109
TTC27,chr2,3443
MIR4765,chr2,77
LINC00486,chr2,3187
AL121656.1,chr2,482
LTBP1,chr2,7329
AL133244.1,chr2,258
AC019127.1,chr2,1912
RNA5SP91,chr2,119
RNA5SP92,chr2,110
MIR4430,chr2,49
RASGRP3,chr2,11118
AC020594.1,chr2,338
FAM98A,chr2,4921
ATP6V0E1P3,chr2,246
HNRNPA1P61,chr2,924
LINC01320,chr2,6075
MYADML,chr2,2528
SLC25A5P2,chr2,897
LINC01318,chr2,597
AC008170.1,chr2,3389
AC073218.2,chr2,912
AC073218.1,chr2,171
AC012593.1,chr2,4324
RN7SL602P,chr2,324
AC019064.1,chr2,499
AC013442.1,chr2,228
MIR548AD,chr2,82
RNU6-1117P,chr2,104
AC083939.1,chr2,126
MRPL50P1,chr2,384
AC009414.1,chr2,443
AC009414.2,chr2,366
CRIM1,chr2,7122
AC007378.1,chr2,478
FEZ2,chr2,8938
AC007363.1,chr2,620
VIT,chr2,3710
AC007382.1,chr2,2618
STRN,chr2,8345
RNU6-577P,chr2,98
HEATR5B,chr2,8206
GPATCH11,chr2,4040
EIF2AK2,chr2,10753
AC007899.1,chr2,775
SULT6B1,chr2,1325
AC007390.1,chr2,356
CEBPZOS,chr2,4698
CEBPZ,chr2,3629
AC007390.2,chr2,3803
NDUFAF7,chr2,3651
PRKD3,chr2,10244
AC007391.1,chr2,504
RNU6-939P,chr2,107
AC007391.2,chr2,841
QPCT,chr2,2696
RNU6-1116P,chr2,99
AC006369.1,chr2,548
CDC42EP3,chr2,10406
AC006369.2,chr2,384
AC010878.1,chr2,1047
LINC00211,chr2,2595
RMDN2,chr2,5999
RMDN2-AS1,chr2,3282
CYP1B1,chr2,6014
CYP1B1-AS1,chr2,7447
AC009229.4,chr2,1947
AC009229.2,chr2,351
RNU6-951P,chr2,107
AC009229.3,chr2,282
AC009229.1,chr2,622
RPL7P12,chr2,750
GAPDHP25,chr2,1001
ATL2,chr2,4884
AC011247.1,chr2,1768
LINC01883,chr2,380
RPLP0P6,chr2,954
AC011247.3,chr2,880
HNRNPLL,chr2,5923
AC011247.2,chr2,233
GALM,chr2,2790
AC074366.1,chr2,1086
SRSF7,chr2,4045
GEMIN6,chr2,4361
TTC39DP,chr2,1688
AC018693.2,chr2,530
DHX57,chr2,7985
ASS1P2,chr2,1223
AC018693.1,chr2,550
MORN2,chr2,1364
RNU6-851P,chr2,107
ARHGEF33,chr2,5529
RN7SL96P,chr2,283
AC019171.1,chr2,1056
SOS1,chr2,9263
SOS1-IT1,chr2,1254
RNU6-198P,chr2,104
HSPE1P13,chr2,297
CDKL4,chr2,2074
MAP4K3,chr2,6067
AC007684.1,chr2,477
AC007388.1,chr2,6741
TMEM178A,chr2,2470
THUMPD2,chr2,3823
SLC8A1-AS1,chr2,8475
AC007253.1,chr2,889
SLC8A1,chr2,21922
AC007317.1,chr2,2467
LINC01794,chr2,549
HNRNPA1P57,chr2,1271
LDHAP3,chr2,1008
AC009413.1,chr2,399
RNU4-63P,chr2,118
LINC01913,chr2,2526
LINC01914,chr2,898
C2orf91,chr2,4356
AC013480.1,chr2,346
PKDCC,chr2,3925
AC083949.1,chr2,947
EML4,chr2,8357
COX7A2L,chr2,5605
RF00612,chr2,118
KCNG3,chr2,3824
VDAC1P13,chr2,859
AC025750.2,chr2,450
MTA3,chr2,10580
AC025750.1,chr2,379
AC074375.1,chr2,192
RNU6-137P,chr2,108
OXER1,chr2,1781
HAAO,chr2,2726
FTOP1,chr2,861
AC098824.1,chr2,980
AC016735.1,chr2,237
LINC01819,chr2,2759
LINC02590,chr2,569
RNU6-242P,chr2,107
LINC02580,chr2,952
ZFP36L2,chr2,3696
LINC01126,chr2,1646
AC010883.1,chr2,398
THADA,chr2,14220
RNU6-958P,chr2,106
RN7SL531P,chr2,282
PLEKHH2,chr2,9835
C1GALT1C1L,chr2,1172
AC011242.1,chr2,1158
RN7SKP66,chr2,231
DYNC2LI1,chr2,4618
ABCG5,chr2,3720
ABCG8,chr2,10185
LRPPRC,chr2,9760
RNU6-1048P,chr2,107
RN7SL455P,chr2,282
AC019129.1,chr2,261
RNU6-566P,chr2,107
PDSS1P2,chr2,678
AC019129.2,chr2,1235
PPM1B,chr2,7103
AC013717.1,chr2,3333
RPL12P19,chr2,486
SLC3A1,chr2,6541
PREPL,chr2,8153
CAMKMT,chr2,3991
LINC01833,chr2,3872
AC012354.3,chr2,483
RF02246,chr2,87
RF02247,chr2,217
RF02248,chr2,75
RF02249,chr2,324
RF02250,chr2,271
RF02251,chr2,196
RF02252,chr2,201
SIX3-AS1,chr2,1151
SIX3,chr2,2523
AC012354.1,chr2,2685
AC012354.2,chr2,461
SIX2,chr2,2205
AC093702.1,chr2,367
LINC01121,chr2,4335
AC093833.1,chr2,553
SRBD1,chr2,5045
RN7SL414P,chr2,294
PRKCE,chr2,9908
U51244.1,chr2,374
AC017078.1,chr2,368
AC017006.2,chr2,464
AC017006.1,chr2,364
AC016696.1,chr2,318
EPAS1,chr2,7302
LINC01820,chr2,570
LINC02583,chr2,1483
AC016912.1,chr2,545
RN7SL817P,chr2,288
TMEM247,chr2,680
ATP6V1E2,chr2,5283
AC018682.2,chr2,399
RHOQ,chr2,4619
AC018682.1,chr2,1519
PIGF,chr2,4978
CRIPT,chr2,2561
AC020604.1,chr2,1909
LINC01118,chr2,3360
SOCS5,chr2,7598
LINC01119,chr2,2830
AC016722.1,chr2,652
AC016722.2,chr2,1835
MCFD2,chr2,5994
TTC7A,chr2,6949
AC093732.2,chr2,274
AC093732.1,chr2,504
STPG4,chr2,3273
AC073283.3,chr2,983
AC073283.1,chr2,860
CALM2,chr2,6466
AC106869.1,chr2,3552
AC073283.2,chr2,677
BCYRN1,chr2,200
EPCAM,chr2,2519
RN7SKP119,chr2,273
MIR559,chr2,96
MSH2,chr2,13777
KCNK12,chr2,6685
HCG2040054,chr2,1295
AC079250.1,chr2,531
MSH6,chr2,10993
AC006509.2,chr2,395
AC006509.1,chr2,634
FBXO11,chr2,7074
RPL36AP15,chr2,266
RPS27AP7,chr2,455
AC079807.1,chr2,856
PPIAP62,chr2,481
AC092650.1,chr2,3258
AC092650.2,chr2,902
RN7SKP224,chr2,325
FOXN2,chr2,5481
RNU4-49P,chr2,140
AC093635.1,chr2,555
PPP1R21,chr2,3995
RNU6-282P,chr2,103
STON1,chr2,7709
STON1-GTF2A1L,chr2,4294
GTF2A1L,chr2,2054
AC073082.1,chr2,2103
TPT1P11,chr2,498
LHCGR,chr2,4999
ELOBP3,chr2,294
AC009975.1,chr2,2698
CTBP2P5,chr2,1264
FSHR,chr2,3170
MIR548BA,chr2,56
AC009975.2,chr2,2096
RNU6-439P,chr2,106
AC009971.1,chr2,673
RPL7P13,chr2,741
RF00072,chr2,775
NRXN1,chr2,24320
AC068725.1,chr2,1217
MTCO1P42,chr2,726
AC009234.1,chr2,895
MIR8485,chr2,91
AC007560.1,chr2,237
AC007402.1,chr2,3939
KNOP1P3,chr2,426
CRYGGP,chr2,145
AC097463.2,chr2,142
AC097463.1,chr2,481
ZNF863P,chr2,417
LINC01867,chr2,604
AC139712.2,chr2,339
AC139712.3,chr2,639
AC139712.1,chr2,1875
FTH1P6,chr2,320
MIR4431,chr2,94
AC010967.1,chr2,489
AC010967.2,chr2,333
AC010967.3,chr2,213
AC069157.1,chr2,137
ASB3,chr2,6299
RNU6-997P,chr2,107
GPR75-ASB3,chr2,2340
CHAC2,chr2,1321
ERLEC1,chr2,2592
MIR3682,chr2,84
GPR75,chr2,2115
PSME4,chr2,10241
ACYP2,chr2,4964
AC008280.1,chr2,412
HMGB1P31,chr2,427
AC008280.2,chr2,307
AC008280.3,chr2,732
RNU7-172P,chr2,64
TSPYL6,chr2,3089
C2orf73,chr2,2716
SPTBN1,chr2,18504
AC092839.1,chr2,536
RPL23AP32,chr2,459
AC092839.2,chr2,377
AC093110.1,chr2,1236
EML6,chr2,14426
AC104781.1,chr2,397
AC104781.2,chr2,562
RNU7-81P,chr2,64
RTN4,chr2,6644
RNU6-433P,chr2,104
CLHC1,chr2,4398
AC012358.1,chr2,916
AC012358.2,chr2,1434
RPS27A,chr2,3130
MTIF2,chr2,3374
PRORSD1P,chr2,2204
AC012358.3,chr2,4741
CCDC88A,chr2,33942
BTF3P5,chr2,467
RNU6-775P,chr2,96
RNU6-221P,chr2,99
RNU6-634P,chr2,106
CFAP36,chr2,3505
PPP4R3B,chr2,8217
RF00586,chr2,304
AC015982.1,chr2,465
PNPT1,chr2,5134
EFEMP1,chr2,3962
RN7SKP208,chr2,361
AC011306.1,chr2,1275
MIR217HG,chr2,900
MIR217,chr2,110
MIR216A,chr2,110
MIR216B,chr2,82
LINC01813,chr2,712
AC007744.1,chr2,2289
AC007743.1,chr2,3713
CCDC85A,chr2,3982
RNA5SP93,chr2,114
PPIAP63,chr2,264
AC010738.1,chr2,987
AC132153.1,chr2,1977
AC068276.1,chr2,379
RF00592,chr2,134
ACTG1P22,chr2,1701
VRK2,chr2,3531
FANCL,chr2,2412
AC007250.1,chr2,338
EIF3FP3,chr2,1086
LINC01795,chr2,813
LINC01122,chr2,5536
AC007238.1,chr2,1741
AC007092.1,chr2,1650
LINC01793,chr2,2036
AC007100.1,chr2,1201
AC007179.2,chr2,2437
AC007179.1,chr2,1180
AC007179.3,chr2,235
RNU6-508P,chr2,103
RNA5SP94,chr2,108
AC007132.1,chr2,1233
MIR4432HG,chr2,8996
RNU1-32P,chr2,159
MIR4432,chr2,84
BCL11A,chr2,25422
AC009970.1,chr2,432
RN7SL361P,chr2,298
AC012498.2,chr2,372
AC012498.1,chr2,437
RNU6-612P,chr2,102
ATP1B3P1,chr2,821
PAPOLG,chr2,8501
LINC01185,chr2,2029
RN7SL632P,chr2,266
RPL21P33,chr2,484
REL,chr2,13170
RNU4-51P,chr2,140
AC010733.2,chr2,5702
NONOP2,chr2,1231
AC010733.1,chr2,401
PUS10,chr2,7651
RNA5SP95,chr2,137
PEX13,chr2,5910
KIAA1841,chr2,7992
AC016747.4,chr2,1383
AC016747.1,chr2,3109
C2orf74,chr2,1515
AC016747.2,chr2,884
AHSA2P,chr2,9083
USP34,chr2,18125
AC016747.3,chr2,791
AC018889.1,chr2,397
AC016894.1,chr2,311
SNORA70B,chr2,135
AC016727.1,chr2,1963
XPO1,chr2,11708
AC016727.3,chr2,1266
AC016727.2,chr2,621
RPS29P10,chr2,166
RNU6-1145P,chr2,107
AC108039.1,chr2,609
RPS24P7,chr2,246
AC108039.2,chr2,359
FAM161A,chr2,5252
AC107081.1,chr2,361
AC107081.3,chr2,2034
CCT4,chr2,2830
AC107081.2,chr2,802
COMMD1,chr2,2392
AC018462.1,chr2,1836
RPSAP26,chr2,741
AC018462.2,chr2,395
B3GNT2,chr2,2861
MIR5192,chr2,92
RN7SL51P,chr2,285
AC093159.2,chr2,636
AC093159.1,chr2,424
RN7SL18P,chr2,291
TMEM17,chr2,2982
AC107083.1,chr2,279
AC092155.2,chr2,477
PSAT1P2,chr2,972
RSL24D1P2,chr2,366
AC092155.1,chr2,1281
EHBP1,chr2,8219
AC092567.1,chr2,251
AC007098.2,chr2,367
AC007098.1,chr2,2675
OTX1,chr2,4833
AC009501.2,chr2,1352
AC009501.1,chr2,312
DBIL5P2,chr2,1692
WDPCP,chr2,11776
AC074367.1,chr2,1125
